PARAMETER,LAT,LON,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CLRSKY_SFC_SW_DWN,29.25,84.25,7.38,7.18,7.15,7.18,7.17,7.18,7.15,7.14,7.15,7.16,7.15,7.16,7.18,7.2,7.2,7.15,7.1,7.11,7.12,7.11,7.13
CLRSKY_SFC_SW_DWN,29.25,84.75,7.38,7.18,7.15,7.18,7.17,7.18,7.15,7.14,7.15,7.16,7.15,7.16,7.18,7.2,7.2,7.15,7.1,7.11,7.12,7.11,7.13
CLRSKY_SFC_SW_DWN,29.25,85.25,7.37,7.26,7.25,7.26,7.23,7.26,7.23,7.23,7.23,7.23,7.23,7.24,7.25,7.26,7.24,7.21,7.18,7.19,7.2,7.19,7.21
CLRSKY_SFC_SW_DWN,29.25,85.75,7.37,7.26,7.25,7.26,7.23,7.26,7.23,7.23,7.23,7.23,7.23,7.24,7.25,7.26,7.24,7.21,7.18,7.19,7.2,7.19,7.21
CLRSKY_SFC_SW_DWN,29.25,86.25,7.39,7.28,7.26,7.28,7.25,7.28,7.26,7.26,7.25,7.26,7.25,7.27,7.27,7.27,7.25,7.22,7.2,7.21,7.22,7.2,7.22
CLRSKY_SFC_SW_DWN,29.25,86.75,7.39,7.28,7.26,7.28,7.25,7.28,7.26,7.26,7.25,7.26,7.25,7.27,7.27,7.27,7.25,7.22,7.2,7.21,7.22,7.2,7.22
CLRSKY_SFC_SW_DWN,29.25,87.25,7.32,7.25,7.26,7.26,7.24,7.27,7.25,7.25,7.21,7.24,7.23,7.24,7.26,7.25,7.23,7.21,7.2,7.2,7.2,7.2,7.2
CLRSKY_SFC_SW_DWN,29.25,87.75,7.32,7.25,7.26,7.26,7.24,7.27,7.25,7.25,7.21,7.24,7.23,7.24,7.26,7.25,7.23,7.21,7.2,7.2,7.2,7.2,7.2
CLRSKY_SFC_SW_DWN,29.25,88.25,7.31,7.21,7.22,7.23,7.21,7.24,7.22,7.23,7.18,7.21,7.2,7.21,7.23,7.22,7.19,7.17,7.17,7.17,7.17,7.17,7.17
CLRSKY_SFC_SW_DWN,29.75,79.75,6.59,6.04,6.01,6.11,6.05,6.1,6.07,6.0,5.93,6.09,6.01,5.98,5.98,5.97,6.03,5.98,5.95,5.99,5.92,5.95,6.02
CLRSKY_SFC_SW_DWN,29.75,80.25,6.68,6.37,6.35,6.45,6.39,6.4,6.4,6.32,6.3,6.44,6.38,6.34,6.37,6.37,6.44,6.39,6.33,6.34,6.3,6.3,6.37
CLRSKY_SFC_SW_DWN,29.75,80.75,6.68,6.37,6.35,6.45,6.39,6.4,6.4,6.32,6.3,6.44,6.38,6.34,6.37,6.37,6.44,6.39,6.33,6.34,6.3,6.3,6.37
CLRSKY_SFC_SW_DWN,29.75,81.25,6.95,6.57,6.55,6.66,6.6,6.6,6.6,6.53,6.5,6.64,6.58,6.55,6.57,6.57,6.63,6.59,6.53,6.54,6.5,6.51,6.58
CLRSKY_SFC_SW_DWN,29.75,81.75,6.95,6.57,6.55,6.66,6.6,6.6,6.6,6.53,6.5,6.64,6.58,6.55,6.57,6.57,6.63,6.59,6.53,6.54,6.5,6.51,6.58
CLRSKY_SFC_SW_DWN,29.75,82.25,7.2,6.98,6.94,7.01,6.95,6.97,6.96,6.93,6.91,6.99,6.96,6.95,6.98,7.01,7.03,7.01,6.9,6.92,6.92,6.89,6.94
CLRSKY_SFC_SW_DWN,29.75,82.75,7.2,6.98,6.94,7.01,6.95,6.97,6.96,6.93,6.91,6.99,6.96,6.95,6.98,7.01,7.03,7.01,6.9,6.92,6.92,6.89,6.94
CLRSKY_SFC_SW_DWN,29.75,83.25,7.37,7.18,7.14,7.17,7.16,7.17,7.14,7.14,7.15,7.16,7.15,7.16,7.18,7.19,7.2,7.15,7.09,7.1,7.12,7.11,7.14
CLRSKY_SFC_SW_DWN,29.75,83.75,7.37,7.18,7.14,7.17,7.16,7.17,7.14,7.14,7.15,7.16,7.15,7.16,7.18,7.19,7.2,7.15,7.09,7.1,7.12,7.11,7.14
CLRSKY_SFC_SW_DWN,29.75,84.25,7.38,7.18,7.15,7.18,7.17,7.18,7.15,7.14,7.15,7.16,7.15,7.16,7.18,7.2,7.2,7.15,7.1,7.11,7.12,7.11,7.13
CLRSKY_SFC_SW_DWN,29.75,84.75,7.38,7.18,7.15,7.18,7.17,7.18,7.15,7.14,7.15,7.16,7.15,7.16,7.18,7.2,7.2,7.15,7.1,7.11,7.12,7.11,7.13
CLRSKY_SFC_SW_DWN,29.75,85.25,7.37,7.26,7.25,7.26,7.23,7.26,7.23,7.23,7.23,7.23,7.23,7.24,7.25,7.26,7.24,7.21,7.18,7.19,7.2,7.19,7.21
CLRSKY_SFC_SW_DWN,29.75,85.75,7.37,7.26,7.25,7.26,7.23,7.26,7.23,7.23,7.23,7.23,7.23,7.24,7.25,7.26,7.24,7.21,7.18,7.19,7.2,7.19,7.21
CLRSKY_SFC_SW_DWN,29.75,86.25,7.39,7.28,7.26,7.28,7.25,7.28,7.26,7.26,7.25,7.26,7.25,7.27,7.27,7.27,7.25,7.22,7.2,7.21,7.22,7.2,7.22
CLRSKY_SFC_SW_DWN,29.75,86.75,7.39,7.28,7.26,7.28,7.25,7.28,7.26,7.26,7.25,7.26,7.25,7.27,7.27,7.27,7.25,7.22,7.2,7.21,7.22,7.2,7.22
